Sample,BleachingStatus,Gametes,Sperm,Eggs,AvgFecundity,Protein,ColonySize,Notes,
214,resistant,1,1,1,3.333333333,,115.763,,1 = present
217,resistant,1,1,1,5,,1225.763,,0 = absent
218,resistant,1,1,1,4.333333333,312.7275865,604.262,,
225,resistant,1,1,1,2.666666667,,359.829,,
226,resistant,1,1,1,3.666666667,241.7066551,768.613,,
227,resistant,0,0,0,0,,15.935,,
228,resistant,1,1,1,3,,914.727,,
231,resistant,1,1,1,3.333333333,285.858894,435.666,partial mortality (small),
248,resistant,1,1,1,2,480.2030617,682.377,,
249,resilient,0,0,0,0,,836.234,partial mortality; hard to measure because some of colony cut off in photo and partially blocked by another colony,
254,resistant,1,1,1,3,,285.487,,
255,resistant,1,1,1,3.333333333,,100.124,,
257,resistant,0,0,0,0,,24.82,only 4 slides; possibly branch tip?,
259,resistant,1,1,1,2.333333333,430.5619835,646.493,,
260,resistant,1,1,1,4,,926.64,,
266,resistant,1,1,1,1.333333333,443.6040042,889.844,,
269,resilient,0,0,0,0,,148.983,only 3 slides; possibly branch tip?; partially bleached,
270,resistant,1,1,1,3,565.1924989,783.002,,
271,resistant,1,1,1,4,,583.905,partial mortality,
272,resilient,0,0,0,0,,571.374,more than half of colony dead,
273,resistant,1,1,1,2.666666667,,433.717,,
274,resistant,1,1,1,0,,930.19,,
276,resilient,1,1,1,2.666666667,,697.38,partially covered by another colony,
279,resistant,1,1,1,2.666666667,,192.733,,
281,resistant,1,1,1,4.666666667,355.6798522,1651.248,,
301,resilient,1,1,1,2.666666667,207.6306109,278.823,,
303,resilient,0,0,0,0,,204.788,,
305,resilient,0,0,0,0,,238.44,,
310,resilient,1,1,1,1.333333333,236.4481944,461.085,,
311,resilient,0,0,0,0,,198.766,,
312,resilient,1,1,1,3.333333333,366.646503,301.117,obscured by several colonies and edge partially cut off from picture,
313,resilient,1,1,1,2.333333333,310.102546,120.359,,
314,resilient,1,1,0,0,,391.553,,
316,resilient,0,0,0,0,,153.496,,
317,resilient,0,0,0,0,,432.864,,
318,resilient,0,0,0,0,,139.517,partial mortality; partially obscured by another colony,
319,resilient,0,0,0,0,,35.321,,
320,resilient,1,1,1,3,320.8947555,216.533,,
327,resilient,0,0,0,0,,352.063,,
328,resilient,1,1,1,1.666666667,,154.246,difficult to measure bc partially covered by another colony,
331,resilient,0,0,0,0,,448.66,,
