Sample,Egg Number,BleachingStatus,Stage
214,1,resistant,4
214,2,resistant,4
214,3,resistant,4
214,4,resistant,3
214,5,resistant,3
214,6,resistant,3
214,7,resistant,3
214,8,resistant,3
214,9,resistant,3
214,10,resistant,3
214,11,resistant,3
214,12,resistant,3
214,13,resistant,3
214,14,resistant,3
214,15,resistant,3
214,16,resistant,3
214,17,resistant,3
214,19,resistant,3
214,20,resistant,3
214,21,resistant,3
214,22,resistant,3
214,23,resistant,3
214,24,resistant,3
214,25,resistant,3
214,18,resistant,3
217,1,resistant,4
217,2,resistant,4
217,3,resistant,3
217,4,resistant,3
217,5,resistant,3
217,6,resistant,3
217,7,resistant,3
217,8,resistant,3
217,9,resistant,3
217,10,resistant,3
217,11,resistant,3
217,12,resistant,3
217,13,resistant,3
217,14,resistant,3
217,15,resistant,3
217,16,resistant,3
217,17,resistant,3
217,18,resistant,3
217,19,resistant,3
217,20,resistant,3
217,21,resistant,3
217,22,resistant,3
217,23,resistant,3
217,24,resistant,3
217,25,resistant,3
218,1,resistant,4
218,2,resistant,3
218,3,resistant,3
218,4,resistant,3
218,5,resistant,3
218,6,resistant,3
218,7,resistant,3
218,8,resistant,3
218,9,resistant,3
218,10,resistant,3
218,11,resistant,3
218,12,resistant,3
218,13,resistant,3
218,14,resistant,3
218,15,resistant,3
218,16,resistant,3
218,17,resistant,3
218,18,resistant,3
218,19,resistant,3
218,20,resistant,3
218,21,resistant,3
218,22,resistant,3
218,23,resistant,3
218,24,resistant,3
225,1,resistant,4
225,2,resistant,3
225,3,resistant,3
225,4,resistant,3
225,5,resistant,3
225,6,resistant,3
225,7,resistant,3
225,8,resistant,3
225,9,resistant,3
225,10,resistant,3
225,11,resistant,3
225,12,resistant,3
225,13,resistant,3
225,14,resistant,3
225,15,resistant,3
225,16,resistant,3
225,17,resistant,3
225,18,resistant,3
225,19,resistant,3
225,20,resistant,3
225,21,resistant,3
225,22,resistant,3
225,23,resistant,3
225,24,resistant,3
225,25,resistant,3
226,1,resistant,3
226,2,resistant,3
226,3,resistant,3
226,4,resistant,3
226,5,resistant,3
226,6,resistant,3
226,7,resistant,3
226,8,resistant,3
226,9,resistant,3
226,10,resistant,3
226,11,resistant,3
226,12,resistant,3
226,13,resistant,3
226,14,resistant,3
226,15,resistant,3
226,16,resistant,3
226,17,resistant,3
226,18,resistant,3
226,19,resistant,3
226,20,resistant,3
226,21,resistant,3
226,22,resistant,3
226,23,resistant,3
226,24,resistant,3
226,25,resistant,3
228,1,resistant,3
228,2,resistant,3
228,3,resistant,3
228,4,resistant,3
228,5,resistant,3
228,6,resistant,3
228,7,resistant,3
228,8,resistant,3
228,9,resistant,3
228,10,resistant,3
228,11,resistant,3
228,12,resistant,3
228,13,resistant,3
228,14,resistant,3
228,15,resistant,3
228,16,resistant,3
228,17,resistant,3
228,18,resistant,3
228,19,resistant,3
228,20,resistant,3
228,21,resistant,3
228,22,resistant,3
228,23,resistant,3
228,24,resistant,3
228,25,resistant,3
230,1,resistant,4
230,2,resistant,3
230,3,resistant,3
230,4,resistant,3
230,5,resistant,3
230,6,resistant,3
230,7,resistant,3
230,8,resistant,3
230,9,resistant,3
230,10,resistant,3
230,11,resistant,3
231,1,resistant,3
231,2,resistant,3
231,3,resistant,3
231,4,resistant,3
231,5,resistant,3
231,6,resistant,3
231,7,resistant,3
231,8,resistant,3
231,9,resistant,3
231,10,resistant,3
231,11,resistant,3
231,12,resistant,3
231,13,resistant,3
231,14,resistant,3
231,15,resistant,3
231,16,resistant,3
231,17,resistant,3
248,1,resistant,3
248,2,resistant,3
248,3,resistant,3
248,4,resistant,3
248,5,resistant,3
248,6,resistant,3
248,7,resistant,3
248,8,resistant,3
248,9,resistant,3
254,1,resistant,4
254,2,resistant,3
254,3,resistant,3
254,4,resistant,3
254,5,resistant,3
254,6,resistant,3
254,7,resistant,3
254,8,resistant,3
254,9,resistant,3
254,10,resistant,3
254,11,resistant,3
254,12,resistant,3
254,13,resistant,3
254,14,resistant,3
254,15,resistant,3
254,16,resistant,3
254,17,resistant,3
254,18,resistant,3
254,19,resistant,3
254,20,resistant,3
254,21,resistant,3
254,22,resistant,3
254,23,resistant,3
254,24,resistant,3
254,25,resistant,3
255,1,resistant,2
255,2,resistant,3
255,3,resistant,3
255,4,resistant,3
255,5,resistant,3
255,6,resistant,3
255,7,resistant,3
255,8,resistant,3
255,9,resistant,3
255,10,resistant,3
255,11,resistant,3
255,12,resistant,3
255,13,resistant,3
255,14,resistant,3
255,15,resistant,3
255,16,resistant,3
255,17,resistant,3
255,18,resistant,3
255,19,resistant,3
255,20,resistant,3
255,21,resistant,3
255,22,resistant,3
259,1,resistant,3
259,2,resistant,3
259,3,resistant,3
259,4,resistant,3
259,5,resistant,3
259,6,resistant,3
259,7,resistant,3
259,8,resistant,3
259,9,resistant,3
259,10,resistant,3
259,11,resistant,3
259,12,resistant,3
259,13,resistant,3
259,14,resistant,3
259,15,resistant,3
259,16,resistant,3
259,17,resistant,3
259,18,resistant,3
259,19,resistant,3
259,20,resistant,3
259,21,resistant,3
259,22,resistant,3
259,23,resistant,3
259,24,resistant,3
259,25,resistant,3
260,1,resistant,3
260,2,resistant,3
260,3,resistant,3
260,4,resistant,3
260,5,resistant,3
260,6,resistant,3
260,7,resistant,3
260,8,resistant,3
260,9,resistant,3
260,10,resistant,3
260,11,resistant,3
260,12,resistant,3
260,13,resistant,3
260,14,resistant,3
260,15,resistant,3
260,16,resistant,3
260,17,resistant,3
260,18,resistant,3
260,19,resistant,3
260,20,resistant,3
260,21,resistant,3
260,22,resistant,3
260,23,resistant,3
260,24,resistant,3
260,25,resistant,3
262,1,resistant,3
262,2,resistant,3
262,3,resistant,3
262,4,resistant,3
262,5,resistant,3
262,6,resistant,3
262,7,resistant,3
262,8,resistant,3
262,9,resistant,3
262,10,resistant,3
262,11,resistant,3
262,12,resistant,3
262,13,resistant,3
262,14,resistant,3
262,15,resistant,3
262,16,resistant,3
262,17,resistant,3
262,18,resistant,3
262,19,resistant,3
262,20,resistant,3
262,21,resistant,3
262,22,resistant,3
262,23,resistant,3
263,1,resistant,3
266,1,resistant,3
266,2,resistant,3
266,3,resistant,3
266,4,resistant,3
266,5,resistant,3
266,6,resistant,3
266,7,resistant,3
266,8,resistant,3
266,9,resistant,3
266,10,resistant,3
266,11,resistant,3
266,12,resistant,3
266,13,resistant,3
266,14,resistant,3
266,15,resistant,3
266,16,resistant,3
266,17,resistant,3
270,1,resistant,4
270,2,resistant,3
270,3,resistant,3
270,4,resistant,3
270,5,resistant,3
270,6,resistant,3
270,7,resistant,3
270,8,resistant,3
270,9,resistant,3
270,10,resistant,3
270,11,resistant,3
270,12,resistant,3
270,13,resistant,3
270,14,resistant,3
270,15,resistant,3
270,16,resistant,3
270,17,resistant,3
270,18,resistant,3
270,19,resistant,3
270,20,resistant,3
270,21,resistant,3
270,22,resistant,3
270,23,resistant,3
270,24,resistant,3
270,25,resistant,3
271,1,resistant,3
271,2,resistant,3
271,3,resistant,3
271,4,resistant,3
271,5,resistant,3
271,6,resistant,3
271,7,resistant,3
271,8,resistant,3
271,9,resistant,3
271,10,resistant,3
271,11,resistant,3
271,12,resistant,3
271,13,resistant,3
271,14,resistant,3
271,15,resistant,3
271,16,resistant,3
271,17,resistant,3
271,18,resistant,3
271,19,resistant,3
271,20,resistant,3
271,21,resistant,3
271,22,resistant,3
271,23,resistant,3
271,24,resistant,3
273,1,resistant,3
273,2,resistant,3
273,3,resistant,3
273,4,resistant,3
273,5,resistant,3
273,6,resistant,3
273,7,resistant,3
273,8,resistant,3
273,9,resistant,3
273,10,resistant,3
273,11,resistant,3
273,12,resistant,3
273,13,resistant,3
273,14,resistant,3
273,15,resistant,3
273,16,resistant,3
273,17,resistant,3
273,18,resistant,3
273,19,resistant,3
273,20,resistant,3
273,21,resistant,3
273,22,resistant,3
273,23,resistant,3
273,24,resistant,3
273,25,resistant,3
274,1,resistant,3
274,2,resistant,3
274,3,resistant,3
276,1,resilient,3
276,2,resilient,3
276,3,resilient,3
276,4,resilient,3
276,5,resilient,3
276,6,resilient,3
276,7,resilient,3
276,8,resilient,3
276,9,resilient,3
276,10,resilient,3
276,11,resilient,3
276,12,resilient,3
276,13,resilient,3
276,14,resilient,3
276,15,resilient,3
276,16,resilient,3
276,17,resilient,3
276,18,resilient,3
276,19,resilient,3
276,20,resilient,3
276,21,resilient,3
276,22,resilient,3
276,23,resilient,3
276,24,resilient,3
276,25,resilient,3
279,1,resistant,3
279,2,resistant,3
279,3,resistant,3
279,4,resistant,3
279,5,resistant,3
279,6,resistant,3
279,7,resistant,3
279,8,resistant,3
279,9,resistant,3
279,10,resistant,3
279,11,resistant,3
279,12,resistant,3
279,13,resistant,3
279,14,resistant,3
279,15,resistant,3
279,16,resistant,3
279,17,resistant,3
279,18,resistant,3
281,1,resistant,3
281,2,resistant,3
281,3,resistant,3
281,4,resistant,3
281,5,resistant,3
281,6,resistant,3
281,7,resistant,3
281,8,resistant,3
281,9,resistant,3
281,10,resistant,3
281,11,resistant,3
281,12,resistant,3
281,13,resistant,3
281,14,resistant,3
281,15,resistant,3
281,16,resistant,3
281,17,resistant,3
281,18,resistant,3
281,19,resistant,3
281,20,resistant,3
281,21,resistant,3
281,22,resistant,3
281,23,resistant,3
281,24,resistant,3
281,25,resistant,3
301,1,resilient,3
301,2,resilient,3
301,3,resilient,3
301,4,resilient,3
301,5,resilient,3
301,6,resilient,3
301,7,resilient,3
301,8,resilient,3
310,1,resilient,3
310,2,resilient,3
310,3,resilient,3
310,4,resilient,3
310,5,resilient,3
310,6,resilient,3
312,1,resilient,4
312,2,resilient,3
312,3,resilient,3
312,4,resilient,3
312,5,resilient,3
312,6,resilient,3
312,7,resilient,3
312,8,resilient,3
312,9,resilient,3
312,10,resilient,3
312,11,resilient,3
312,12,resilient,3
312,13,resilient,3
312,14,resilient,3
312,15,resilient,3
312,16,resilient,3
312,17,resilient,3
312,18,resilient,3
312,19,resilient,3
312,20,resilient,3
313,1,resilient,3
313,2,resilient,3
313,3,resilient,3
313,4,resilient,3
313,5,resilient,3
313,6,resilient,3
313,7,resilient,3
313,8,resilient,3
313,9,resilient,3
313,10,resilient,3
313,11,resilient,3
313,12,resilient,3
313,13,resilient,3
313,14,resilient,3
313,15,resilient,3
313,16,resilient,3
313,17,resilient,3
313,18,resilient,3
313,19,resilient,3
313,20,resilient,3
313,21,resilient,3
313,22,resilient,3
313,23,resilient,3
313,24,resilient,3
313,25,resilient,3
320,1,resilient,3
320,2,resilient,3
320,3,resilient,3
320,4,resilient,3
320,5,resilient,3
328,1,resilient,4
328,2,resilient,3
328,3,resilient,3
328,4,resilient,3
