Sample,BleachingStatus,EggStage,Number,depth_m
214,resistant,2,0,5
214,resistant,3,22,5
214,resistant,4,3,5
217,resistant,2,0,5
217,resistant,3,23,5
217,resistant,4,2,5
218,resistant,2,0,5
218,resistant,3,23,5
218,resistant,4,1,5
225,resistant,2,0,5
225,resistant,3,24,5
225,resistant,4,1,5
226,resistant,2,0,5
226,resistant,3,25,5
226,resistant,4,0,5
228,resistant,2,0,5
228,resistant,3,25,5
228,resistant,4,0,5
230,resistant,2,0,5
230,resistant,3,10,5
230,resistant,4,1,5
231,resistant,2,0,5
231,resistant,3,17,5
231,resistant,4,0,5
248,resistant,2,0,5
248,resistant,3,9,5
248,resistant,4,0,5
254,resistant,2,0,5
254,resistant,3,24,5
254,resistant,4,1,5
255,resistant,2,1,5
255,resistant,3,21,5
255,resistant,4,0,5
259,resistant,2,0,5
259,resistant,3,25,5
259,resistant,4,0,5
260,resistant,2,0,5
260,resistant,3,25,5
260,resistant,4,0,5
262,resistant,2,0,5
262,resistant,3,23,5
262,resistant,4,0,5
263,resistant,2,0,5
263,resistant,3,1,5
263,resistant,4,0,5
266,resistant,2,0,5
266,resistant,3,17,5
266,resistant,4,0,5
270,resistant,2,0,5
270,resistant,3,24,5
270,resistant,4,1,5
271,resistant,2,0,5
271,resistant,3,24,5
271,resistant,4,0,5
273,resistant,2,0,5
273,resistant,3,25,5
273,resistant,4,0,5
274,resistant,2,0,5
274,resistant,3,3,5
274,resistant,4,0,5
276,resilient,2,0,5
276,resilient,3,25,5
276,resilient,4,0,5
279,resistant,2,0,5
279,resistant,3,18,5
279,resistant,4,0,5
281,resistant,2,0,5
281,resistant,3,25,5
281,resistant,4,0,5
301,resilient,2,0,14
301,resilient,3,8,14
301,resilient,4,0,14
310,resilient,2,0,14
310,resilient,3,6,14
310,resilient,4,0,14
312,resilient,2,0,14
312,resilient,3,19,14
312,resilient,4,1,14
313,resilient,2,0,14
313,resilient,3,25,14
313,resilient,4,0,14
320,resilient,2,0,14
320,resilient,3,5,14
320,resilient,4,0,14
328,resilient,2,0,14
328,resilient,3,3,14
328,resilient,4,1,14
,,,,
,,,537,
