coral_id,site,depth,Shore,tagged,month,Initials,DatePhotoTaken,photoID,area,diameter_long,diameter_short,color_bin,NOTES (no standard stick? shaded? etc)
102,pile mooring,10,N,T,Amay,EG,5/15/19,P5150184,320.479,25.623,23.235,2,
103,pile mooring,10,N,T,Amay,EG,5/15/19,P5150186,192.814,22.342,17.365,1,
104,pile mooring,10,N,T,Amay,EG,5/15/19,P5150193,305.705,31.016,14.496,5,
105,pile mooring,10,N,T,Amay,EG,5/15/19,P5150197,965.895,41.209,29.657,1,
106,pile mooring,10,N,T,Amay,EG,5/15/19,P5150203,386.243,31.142,13.445,,dead
107,pile mooring,10,N,T,Amay,EG,5/15/19,P5150209,388.799,28.059,17.973,2,
108,pile mooring,10,N,T,Amay,EG,5/15/19,P5150205,806.92,46.75,21.705,4,
109,pile mooring,10,N,T,Amay,EG,5/15/19,P5150214,507.112,30.818,27.837,1,
110,pile mooring,10,N,T,Amay,EG,5/15/19,P5150218,218.409,21.577,13.617,1,
111,pile mooring,10,N,T,Amay,EG,5/15/19,P5150221,216.68,20.149,12.41,2,
112,pile mooring,10,N,T,Amay,EG,5/15/19,P5150166,113.541,13.598,11.992,1,
113,pile mooring,10,N,T,Amay,EG,5/15/19,P5150163,441.662,28.242,22.521,5,
114,pile mooring,10,N,T,Amay,EG,5/15/19,P5150169,273.415,20.575,16.992,1,
115,pile mooring,10,N,T,Amay,EG,5/15/19,P5150172,349.926,22.834,18.469,1,
116,pile mooring,10,N,T,Amay,EG,5/15/19,P5150129,622.078,35.689,32.55,1,
116,pile mooring,10,N,T,Amay,EG,5/15/19,P5150180,689.167,34.346,28.928,1,
118,pile mooring,10,N,T,Amay,EG,5/15/19,P5150190,172.194,19.622,12.125,1,
119,pile mooring,10,N,T,Amay,EG,5/15/19,P5150199,396.278,27.283,22.151,1,
123,pile mooring,10,N,T,Amay,EG,5/15/19,P5150135,527.075,31.895,19.735,2,
124,pile mooring,10,N,T,Amay,EG,5/15/19,P5150109,429.489,27.767,21.915,2,
125,pile mooring,10,N,T,Amay,EG,5/15/19,P5150106,300.082,33.248,14.509,2,
126,pile mooring,10,N,T,Amay,EG,5/15/19,P5150111,95.701,12.408,10.194,1,
129,pile mooring,10,N,T,Amay,EG,5/15/19,P5150116,307.139,24.546,20.51,4,
130,pile mooring,10,N,T,Amay,EG,5/15/19,P5150119,236.126,20.874,16.717,1,
131,pile mooring,10,N,T,Amay,EG,5/15/19,P5150122,475.639,29.485,24.266,1,
132,pile mooring,10,N,T,Amay,EG,5/15/19,,,,,1,*couldnt measure
134,pile mooring,10,N,T,Amay,EG,5/15/19,P5150125,135.551,15.366,13.261,1,
135,pile mooring,10,N,T,Amay,EG,5/15/19,P5150161,309.585,22.364,20.006,1,
139,pile mooring,10,N,T,Amay,EG,5/15/19,P5150157,937.241,36.879,33.029,1,
140,pile mooring,10,N,T,Amay,EG,5/15/19,P5150149,797.085,38.804,22.809,2,
141,pile mooring,10,N,T,Amay,EG,5/15/19,P5150153,1045.564,46.002,30.594,1,
171,pile mooring,10,N,T,Amay,EG,5/15/19,P5150138,443.846,33.765,17.161,1,
172,pile mooring,10,N,T,Amay,EG,5/15/19,P5150144,115.14,15.903,10.844,5,
173,pile mooring,10,N,T,Amay,EG,5/15/19,P5150146,603.985,30.62,26.698,1,
174,pile mooring,10,N,T,Amay,EG,5/15/19,P5150141,444.631,29.426,21.647,1,
175,pile mooring,10,N,T,Amay,EG,5/15/19,P5150113,543.695,31.414,22.939,2,
179,pile mooring,10,N,T,Amay,EG,5/16/19,P5160239,220.271,18.928,16.848,2,
180,pile mooring,10,N,T,Amay,EG,5/16/19,P5160243,78.345,11.008,10.208,1,
181,pile mooring,10,N,T,Amay,EG,5/16/19,P5160247,405.867,31.148,18.489,1,
182,pile mooring,10,N,T,Amay,EG,5/16/19,P5160252,148.152,16.965,12.221,1,
183,pile mooring,10,N,T,Amay,EG,5/16/19,P5160254,184.637,21.152,11.553,1,
184,pile mooring,10,N,T,Amay,EG,5/16/19,P5160258,69.492,13.647,6.81,1,
185,pile mooring,10,N,T,Amay,EG,5/16/19,P5160262,217.327,20.324,16.273,1,
186,pile mooring,10,N,T,Amay,EG,5/16/19,P5160266,103.064,12.854,10.084,1,
187,pile mooring,10,N,T,Amay,EG,5/16/19,P5160268,71.356,14.395,9.314,1,
188,pile mooring,10,N,T,Amay,EG,5/16/19,P5160271,488.565,31.342,22.344,2,
189,pile mooring,10,N,T,Amay,EG,5/16/19,P5160274,141.563,15.725,11.631,1,
